platform,id,sort,rank,parent_id,text,likes,likes_display,published_utc,published_label,creator,url
youtube,UgzwaI9S2kvlsIER7Kl4AaABAg,newest,59,,"Build water reserve small at home, power backups connect solar..food, chickens in outskirts",, ,,5 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgzwaI9S2kvlsIER7Kl4AaABAg
youtube,Ugw_3bJAHLnwYLGVY1t4AaABAg,newest,60,,He basically confirms everything that I assumed since - well - ever,, ,,5 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=Ugw_3bJAHLnwYLGVY1t4AaABAg
youtube,UgxGmnbEBJDoOg1OeT94AaABAg,newest,61,,Sharp and kind old men,, ,,5 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgxGmnbEBJDoOg1OeT94AaABAg
youtube,UgwF42QvYHQSsqWW7fx4AaABAg,newest,62,,"If we had more billionaires like  Jeremy

..it would be a wonderful world .

billionaires have forgotten what it is to be human...u cant take money to the next life ...do good things with your money .",, ,,5 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgwF42QvYHQSsqWW7fx4AaABAg
youtube,Ugx7JXUnLe-7CVRYVgp4AaABAg,newest,63,,"Material 3 D worlds are  silly!! All illusion of ones and zeroes,, Low level  jungle life on low level planets.  All Comedy, a ship of fools hoarding ones and zeros in cement vaults.. Hilarious what we take so seriously!!. Beware of pussy and gold!! Proven killers!!",, ,,5 days ago (edited),False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=Ugx7JXUnLe-7CVRYVgp4AaABAg
youtube,UgzigbHpLXBFwNzbXwh4AaABAg,newest,64,,❤❤❤❤,, ,,5 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgzigbHpLXBFwNzbXwh4AaABAg
youtube,UgzU5dKOWRU_bnHQFTZ4AaABAg,newest,65,,"What an important conversation for everyone to listen to, understand, and take to heart.",, ,,5 days ago (edited),False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgzU5dKOWRU_bnHQFTZ4AaABAg
youtube,Ugzlt3hyP0QWuppIoAt4AaABAg,newest,66,,I was subscribed but for some reason it was removed and I have had to press subscribe again.,, ,,5 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=Ugzlt3hyP0QWuppIoAt4AaABAg
youtube,UgwUBt0LSp-pU7dpoUx4AaABAg,newest,67,,"YOUR BARBER flew over to give you a HAIRCUT?????
And you said that OUTLOUD?
What is wrong with you?
How deaf and blind and careless are you?",, ,,5 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgwUBt0LSp-pU7dpoUx4AaABAg
youtube,UgxzrFhINe3EIFRAMXp4AaABAg,newest,68,,:hand-pink-waving:,, ,,6 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgxzrFhINe3EIFRAMXp4AaABAg
youtube,Ugw-FLkCH5SffX2cJiJ4AaABAg,newest,69,,Why would a billionaire give honest interview? He would lie for profits.,, ,,6 days ago (edited),False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=Ugw-FLkCH5SffX2cJiJ4AaABAg
youtube,UgwryvyMGj2kRcm9JVp4AaABAg,newest,70,,jeux mots  avec faute sai sur persone a  pencer a sa  sort le vieux,, ,,6 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgwryvyMGj2kRcm9JVp4AaABAg
youtube,Ugz0jSTpf0Mk4dZtOJR4AaABAg,newest,71,,sai mon frere,, ,,6 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=Ugz0jSTpf0Mk4dZtOJR4AaABAg
youtube,Ugz-wkjVS7fRe4iPaKZ4AaABAg,newest,72,,la on nais ou,, ,,6 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=Ugz-wkjVS7fRe4iPaKZ4AaABAg
youtube,Ugyr_Mc0Nadrq6ROn_Z4AaABAg,newest,73,,cranper  je pence a mes mots slogan il  reste  tu quel que chausse,, ,,6 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=Ugyr_Mc0Nadrq6ROn_Z4AaABAg
youtube,UgwfT8yD8PuZpLRRcl54AaABAg,newest,74,,woiw,, ,,6 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgwfT8yD8PuZpLRRcl54AaABAg
youtube,UgzpmhhdI3um6oOe9eZ4AaABAg,newest,75,,sais ou sa passe,, ,,6 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgzpmhhdI3um6oOe9eZ4AaABAg
youtube,Ugy8DLX4IuB_9mJlR5x4AaABAg,newest,76,,7777,, ,,6 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=Ugy8DLX4IuB_9mJlR5x4AaABAg
